ID	gene
REACTOME_SIGNALING_BY_RHO_GTPASES	57381
REACTOME_SIGNALING_BY_RHO_GTPASES	55288
REACTOME_SIGNALING_BY_RHO_GTPASES	89846
REACTOME_SIGNALING_BY_RHO_GTPASES	5300
REACTOME_SIGNALING_BY_RHO_GTPASES	7277
REACTOME_SIGNALING_BY_RHO_GTPASES	7533
REACTOME_SIGNALING_BY_RHO_GTPASES	5880
REACTOME_SIGNALING_BY_RHO_GTPASES	1123
REACTOME_SIGNALING_BY_RHO_GTPASES	58504
REACTOME_SIGNALING_BY_RHO_GTPASES	9459
REACTOME_SIGNALING_BY_RHO_GTPASES	151648
REACTOME_SIGNALING_BY_RHO_GTPASES	9754
REACTOME_SIGNALING_BY_RHO_GTPASES	10095
REACTOME_SIGNALING_BY_RHO_GTPASES	27237
REACTOME_SIGNALING_BY_RHO_GTPASES	6249
REACTOME_SIGNALING_BY_RHO_GTPASES	23229
REACTOME_SIGNALING_BY_RHO_GTPASES	1729
REACTOME_SIGNALING_BY_RHO_GTPASES	85415
REACTOME_SIGNALING_BY_RHO_GTPASES	3021
REACTOME_SIGNALING_BY_RHO_GTPASES	1742
REACTOME_SIGNALING_BY_RHO_GTPASES	9826
REACTOME_SIGNALING_BY_RHO_GTPASES	10810
REACTOME_SIGNALING_BY_RHO_GTPASES	4628
REACTOME_SIGNALING_BY_RHO_GTPASES	90627
REACTOME_SIGNALING_BY_RHO_GTPASES	4629
REACTOME_SIGNALING_BY_RHO_GTPASES	4221
REACTOME_SIGNALING_BY_RHO_GTPASES	10451
REACTOME_SIGNALING_BY_RHO_GTPASES	10971
REACTOME_SIGNALING_BY_RHO_GTPASES	9475
REACTOME_SIGNALING_BY_RHO_GTPASES	55143
REACTOME_SIGNALING_BY_RHO_GTPASES	9743
REACTOME_SIGNALING_BY_RHO_GTPASES	1783
REACTOME_SIGNALING_BY_RHO_GTPASES	50649
REACTOME_SIGNALING_BY_RHO_GTPASES	5879
REACTOME_SIGNALING_BY_RHO_GTPASES	10006
REACTOME_SIGNALING_BY_RHO_GTPASES	84904
REACTOME_SIGNALING_BY_RHO_GTPASES	89953
REACTOME_SIGNALING_BY_RHO_GTPASES	7280
REACTOME_SIGNALING_BY_RHO_GTPASES	347733
REACTOME_SIGNALING_BY_RHO_GTPASES	5519
REACTOME_SIGNALING_BY_RHO_GTPASES	57569
REACTOME_SIGNALING_BY_RHO_GTPASES	57082
REACTOME_SIGNALING_BY_RHO_GTPASES	9411
REACTOME_SIGNALING_BY_RHO_GTPASES	10097
REACTOME_SIGNALING_BY_RHO_GTPASES	79172
REACTOME_SIGNALING_BY_RHO_GTPASES	10152
REACTOME_SIGNALING_BY_RHO_GTPASES	83478
REACTOME_SIGNALING_BY_RHO_GTPASES	10144
REACTOME_SIGNALING_BY_RHO_GTPASES	1062
