pathway	entrezgene	hgnc_symbol
REACTOME_SIGNALING_BY_RHO_GTPASES	3633	INPP5B
REACTOME_SIGNALING_BY_RHO_GTPASES	6453	ITSN1
REACTOME_SIGNALING_BY_RHO_GTPASES	445328	ARHGEF35
REACTOME_SIGNALING_BY_RHO_GTPASES	84986	ARHGAP19
REACTOME_SIGNALING_BY_RHO_GTPASES	5500	PPP1CB
REACTOME_SIGNALING_BY_RHO_GTPASES	51517	NCKIPSD
REACTOME_SIGNALING_BY_RHO_GTPASES	30851	TAX1BP3
REACTOME_SIGNALING_BY_RHO_GTPASES	100271715	ARHGEF33
REACTOME_SIGNALING_BY_RHO_GTPASES	8341	HIST1H2BN
REACTOME_SIGNALING_BY_RHO_GTPASES	54145	H2BFS
REACTOME_SIGNALING_BY_RHO_GTPASES	54848	ARHGEF38
REACTOME_SIGNALING_BY_RHO_GTPASES	23779	ARHGAP8
REACTOME_SIGNALING_BY_RHO_GTPASES	10093	ARPC4
REACTOME_SIGNALING_BY_RHO_GTPASES	10552	ARPC1A
REACTOME_SIGNALING_BY_RHO_GTPASES	398	ARHGDIG
REACTOME_SIGNALING_BY_RHO_GTPASES	80086	TUBA4B
REACTOME_SIGNALING_BY_RHO_GTPASES	55766	H2AFJ
REACTOME_SIGNALING_BY_RHO_GTPASES	55845	BRK1
REACTOME_SIGNALING_BY_RHO_GTPASES	10381	TUBB3
REACTOME_SIGNALING_BY_RHO_GTPASES	347688	TUBB8
REACTOME_SIGNALING_BY_RHO_GTPASES	140735	DYNLL2
REACTOME_SIGNALING_BY_RHO_GTPASES	23380	SRGAP2
REACTOME_SIGNALING_BY_RHO_GTPASES	554313	HIST2H4B
REACTOME_SIGNALING_BY_RHO_GTPASES	8370	HIST2H4A
REACTOME_SIGNALING_BY_RHO_GTPASES	723790	HIST2H2AA4
REACTOME_SIGNALING_BY_RHO_GTPASES	8362	HIST1H4K
REACTOME_SIGNALING_BY_RHO_GTPASES	8342	HIST1H2BM
REACTOME_SIGNALING_BY_RHO_GTPASES	23191	CYFIP1
REACTOME_SIGNALING_BY_RHO_GTPASES	8339	HIST1H2BG
REACTOME_SIGNALING_BY_RHO_GTPASES	8355	HIST1H3G
REACTOME_SIGNALING_BY_RHO_GTPASES	474382	H2AFB1
REACTOME_SIGNALING_BY_RHO_GTPASES	8344	HIST1H2BE
REACTOME_SIGNALING_BY_RHO_GTPASES	8361	HIST1H4F
REACTOME_SIGNALING_BY_RHO_GTPASES	8348	HIST1H2BO
REACTOME_SIGNALING_BY_RHO_GTPASES	8353	HIST1H3E
REACTOME_SIGNALING_BY_RHO_GTPASES	8368	HIST1H4L
REACTOME_SIGNALING_BY_RHO_GTPASES	8354	HIST1H3I
REACTOME_SIGNALING_BY_RHO_GTPASES	8345	HIST1H2BH
REACTOME_SIGNALING_BY_RHO_GTPASES	8350	HIST1H3A
REACTOME_SIGNALING_BY_RHO_GTPASES	57636	ARHGAP23
REACTOME_SIGNALING_BY_RHO_GTPASES	8294	HIST1H4I
REACTOME_SIGNALING_BY_RHO_GTPASES	8331	HIST1H2AJ
REACTOME_SIGNALING_BY_RHO_GTPASES	3018	HIST1H2BB
REACTOME_SIGNALING_BY_RHO_GTPASES	8367	HIST1H4E
REACTOME_SIGNALING_BY_RHO_GTPASES	3012	HIST1H2AE
REACTOME_SIGNALING_BY_RHO_GTPASES	8360	HIST1H4D
REACTOME_SIGNALING_BY_RHO_GTPASES	8343	HIST1H2BF
REACTOME_SIGNALING_BY_RHO_GTPASES	8968	HIST1H3F
REACTOME_SIGNALING_BY_RHO_GTPASES	8335	HIST1H2AB
REACTOME_SIGNALING_BY_RHO_GTPASES	8346	HIST1H2BI
REACTOME_SIGNALING_BY_RHO_GTPASES	8359	HIST1H4A
REACTOME_SIGNALING_BY_RHO_GTPASES	8366	HIST1H4B
REACTOME_SIGNALING_BY_RHO_GTPASES	8357	HIST1H3H
