source	target
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	IVD
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	BCKDHB
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	ACAD8
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	ECHS1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	ALDH9A1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	ALDH3A2
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	PCCB
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	HIBCH
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	DLD
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	HMGCS2
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	EHHADH
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	HMGCS1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	PCCA
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	ALDH7A1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	HIBADH
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	ACAA1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	OXCT2
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	MMUT
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	MCCC2
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	BCAT1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	AUH
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	BCAT2
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	BCKDHA
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	MCCC1
KEGG_ARGININE_AND_PROLINE_METABOLISM	SRM
KEGG_ARGININE_AND_PROLINE_METABOLISM	AZIN2
KEGG_ARGININE_AND_PROLINE_METABOLISM	GLUD2
KEGG_ARGININE_AND_PROLINE_METABOLISM	GLS2
KEGG_ARGININE_AND_PROLINE_METABOLISM	ARG1
KEGG_ARGININE_AND_PROLINE_METABOLISM	ARG2
KEGG_ARGININE_AND_PROLINE_METABOLISM	GLUD1
KEGG_ARGININE_AND_PROLINE_METABOLISM	GLS
KEGG_ARGININE_AND_PROLINE_METABOLISM	ASL
KEGG_ARGININE_AND_PROLINE_METABOLISM	CKMT1A
