nodes	type
INHBE	Gene
PLEKHO2	Gene
CXCL10	Gene
MPL	Gene
CCL27	Gene
INHBB	Gene
INHBC	Gene
IFNLR1	Gene
INHBA	Gene
KITLG	Gene
TNFRSF19	Gene
CXCR4	Gene
IL1R2	Gene
KIT	Gene
CD70	Gene
TNFRSF11B	Gene
LEPR	Gene
CXCR6	Gene
RELT	Gene
LEP	Gene
IL19	Gene
LTA	Gene
IL17A	Gene
IL18	Gene
TNFRSF9	Gene
OSM	Gene
GDF5	Gene
IL15RA	Gene
IL15	Gene
CXCL13	Gene
LTB	Gene
TNFRSF25	Gene
LTBR	Gene
IL22RA1	Gene
CD40LG	Gene
CD40	Gene
GHR	Gene
IL18RAP	Gene
CXCL9	Gene
IL17RA	Gene
GH1	Gene
LIF	Gene
GH2	Gene
LIFR	Gene
IL18R1	Gene
TNFSF4	Gene
TNFRSF4	Gene
CX3CR1	Gene
PDGFRB	Gene
EDA	Gene
CXCL14	Gene
IL1A	Gene
EDAR	Gene
IL24	Gene
CNTF	Gene
CNTFR	Gene
TNFSF13B	Gene
PDGFC	Gene
VEGFA	Gene
VEGFC	Gene
VEGFB	Gene
CCR9	Gene
NGFR	Gene
IL22RA2	Gene
PDGFA	Gene
ACVRL1	Gene
PDGFB	Gene
CCL4L2	Gene
ACVR2B	Gene
PDGFRA	Gene
ACVR2A	Gene
ACVR1B	Gene
ACVR1	Gene
VEGFD	Gene
TNFRSF13B	Gene
IL25	Gene
TNFSF15	Gene
EPO	Gene
IL9R	Gene
CXCL1	Gene
TNF	Gene
CXCR5	Gene
IFNA5	Gene
IFNA4	Gene
IFNA2	Gene
TNFRSF6B	Gene
IFNA1	Gene
CXCR2	Gene
CXCR1	Gene
IL9	Gene
CCL28	Gene
IL7R	Gene
CXCL8	Gene
IL12RB1	Gene
IL12B	Gene
IL13	Gene
IL12RB2	Gene
IL11RA	Gene
IL12A	Gene
KDR	Gene
TNFRSF1B	Gene
IFNA17	Gene
TNFRSF1A	Gene
IFNA21	Gene
TNFRSF18	Gene
IFNA6	Gene
CCR3	Gene
TNFRSF12A	Gene
IFNA7	Gene
CCR4	Gene
IFNA8	Gene
CCR5	Gene
IFNA10	Gene
CCR6	Gene
IFNA13	Gene
CCR7	Gene
IFNA14	Gene
CCR8	Gene
IFNA16	Gene
IL26	Gene
CXCL16	Gene
IL10	Gene
EDA2R	Gene
IL10RA	Gene
IL10RB	Gene
EPOR	Gene
IL11	Gene
IL3RA	Gene
IL3	Gene
IL2RG	Gene
EGFR	Gene
IL2RB	Gene
CCR1	Gene
XCL2	Gene
IFNGR2	Gene
EGF	Gene
CCL1	Gene
TNFRSF10A	Gene
IFNG	Gene
IFNGR1	Gene
TNFRSF10D	Gene
IFNB1	Gene
TNFRSF11A	Gene
TNFRSF10B	Gene
IFNAR1	Gene
TNFRSF10C	Gene
IFNAR2	Gene
IL1RAP	Gene
IL1B	Gene
AMHR2	Gene
IL1R1	Gene
AMH	Gene
IL2RA	Gene
IL20RB	Gene
IL21	Gene
TNFSF18	Gene
IL2	Gene
IL20RA	Gene
BMPR2	Gene
BMPR1A	Gene
IL6R	Gene
BMPR1B	Gene
CRLF2	Gene
IL6ST	Gene
IFNK	Gene
IL7	Gene
PF4	Gene
CXCL2	Gene
CXCL3	Gene
BMP2	Gene
PF4V1	Gene
BMP7	Gene
IFNL3	Gene
IFNL1	Gene
TNFRSF21	Gene
FAS	Gene
IFNL2	Gene
FASLG	Gene
IFNW1	Gene
PPBP	Gene
TSLP	Gene
IL4	Gene
IL4R	Gene
IL5	Gene
IL5RA	Gene
IL6	Gene
CDC16	Gene
CDC7	Gene
CDC45	Gene
GADD45B	Gene
DBF4	Gene
ANAPC1	Gene
CREBBP	Gene
MDM2	Gene
ABL1	Gene
SMC1B	Gene
GADD45G	Gene
ATM	Gene
ATR	Gene
ANAPC7	Gene
RBL2	Gene
ANAPC5	Gene
RBL1	Gene
MYC	Gene
CDC14B	Gene
SMC1A	Gene
CDC14A	Gene
SKP1	Gene
GADD45A	Gene
STAG1	Gene
PLK1	Gene
RBX1	Gene
STAG2	Gene
ORC6	Gene
CCND1	Gene
MAD1L1	Gene
YWHAB	Gene
CCNA2	Gene
BUB1	Gene
CHEK1	Gene
WEE2	Gene
PTTG1	Gene
CDC27	Gene
CDC25B	Gene
CDC25C	Gene
CDC25A	Gene
CDC6	Gene
CDC20	Gene
BUB3	Gene
YWHAZ	Gene
CCND2	Gene
YWHAH	Gene
CCNB1	Gene
YWHAG	Gene
YWHAE	Gene
CCNE1	Gene
ORC3	Gene
CCND3	Gene
PTTG2	Gene
SFN	Gene
E2F1	Gene
TFDP1	Gene
ZBTB17	Gene
CDK1	Gene
ESPL1	Gene
ANAPC10	Gene
RAD21	Gene
BUB1B	Gene
ANAPC11	Gene
RB1	Gene
SKP2	Gene
CUL1	Gene
SMAD3	Gene
SMAD4	Gene
ANAPC2	Gene
TFDP2	Gene
PRKDC	Gene
MAD2L1	Gene
ANAPC4	Gene
SMAD2	Gene
YWHAQ	Gene
CHEK2	Gene
CDC23	Gene
EP300	Gene
GSK3B	Gene
CDKN2A	Gene
CDKN1C	Gene
CDKN1B	Gene
CDKN1A	Gene
CDKN2D	Gene
CCNA1	Gene
CDKN2B	Gene
CDKN2C	Gene
FZR1	Gene
SMC3	Gene
ANAPC13	Gene
TTK	Gene
PKMYT1	Gene
CDK2	Gene
CDC26	Gene
E2F5	Gene
CDK4	Gene
WEE1	Gene
E2F4	Gene
E2F3	Gene
TP53	Gene
E2F2	Gene
ORC1	Gene
ORC2	Gene
CCNE2	Gene
CDK6	Gene
ORC4	Gene
CCNB2	Gene
CDK7	Gene
MAD2L2	Gene
ORC5	Gene
HDAC1	Gene
HDAC2	Gene
CCNH	Gene
CCNB3	Gene
CASP9	Gene
CASP8	Gene
TSC2	Gene
IGF1	Gene
RCHY1	Gene
ZMAT3	Gene
IGFBP3	Gene
RRM2B	Gene
ADGRB1	Gene
TP73	Gene
SERPINB5	Gene
RPRM	Gene
PPM1D	Gene
BID	Gene
MDM4	Gene
BAX	Gene
TP53AIP1	Gene
CASP3	Gene
TP53I3	Gene
PMAIP1	Gene
PIDD1	Gene
COP1	Gene
PERP	Gene
EI24	Gene
SESN2	Gene
SESN3	Gene
APAF1	Gene
RRM2	Gene
BBC3	Gene
DDB2	Gene
GTSE1	Gene
SIAH1	Gene
CD82	Gene
PTEN	Gene
SESN1	Gene
SERPINE1	Gene
CYCS	Gene
STEAP3	Gene
SHISA5	Gene
CCNG1	Gene
THBS1	Gene
CCNG2	Gene
CASP10	Gene
CHUK	Gene
TRIM25	Gene
ATG12	Gene
TBKBP1	Gene
FADD	Gene
SIKE1	Gene
RIPK1	Gene
MAPK9	Gene
MAPK10	Gene
ISG15	Gene
MAPK11	Gene
MAP3K1	Gene
MAPK13	Gene
IKBKB	Gene
MAP3K7	Gene
TKFC	Gene
OTUD5	Gene
DDX3X	Gene
IKBKE	Gene
NFKB1	Gene
NFKBIB	Gene
NFKBIA	Gene
IRF3	Gene
IFIH1	Gene
IKBKG	Gene
MAPK8	Gene
MAPK14	Gene
MAPK12	Gene
RELA	Gene
DDX3Y	Gene
TRAF6	Gene
TRAF3	Gene
TRAF2	Gene
TANK	Gene
CYLD	Gene
TRADD	Gene
ATG5	Gene
DDX58	Gene
PIN1	Gene
MAVS	Gene
DHX58	Gene
TBK1	Gene
STING1	Gene
AZI2	Gene
NLRX1	Gene
IRF7	Gene
RNF125	Gene
STAT3	Gene
STAT4	Gene
STAT1	Gene
STAT2	Gene
PIAS3	Gene
TYK2	Gene
SOCS5	Gene
STAM	Gene
SPRY4	Gene
JAK1	Gene
AKT1	Gene
AKT2	Gene
JAK3	Gene
JAK2	Gene
AKT3	Gene
STAT5B	Gene
STAT5A	Gene
STAT6	Gene
SPRED1	Gene
PIK3R5	Gene
IL13RA2	Gene
PIAS1	Gene
SOCS1	Gene
SOCS3	Gene
CSH1	Gene
BCL2L1	Gene
PIAS4	Gene
CBLC	Gene
SOS2	Gene
PTPN11	Gene
SPRED2	Gene
SOCS2	Gene
CISH	Gene
PTPN6	Gene
IRF9	Gene
PIAS2	Gene
GRB2	Gene
SOS1	Gene
CBLB	Gene
CBL	Gene
PIK3R3	Gene
SPRY2	Gene
SPRY1	Gene
STAM2	Gene
SOCS4	Gene
PIK3CA	Gene
PIK3CB	Gene
PIM1	Gene
PIK3CD	Gene
SPRY3	Gene
PIK3CG	Gene
SOCS7	Gene
PIK3R1	Gene
PIK3R2	Gene
JUN	Gene
FRS2	Gene
CALM2	Gene
CALM1	Gene
PDPK1	Gene
RPS6KA6	Gene
MAP3K5	Gene
RPS6KA5	Gene
BRAF	Gene
MAP3K3	Gene
SHC4	Gene
NRAS	Gene
SH2B1	Gene
NFKBIE	Gene
BEX3	Gene
KRAS	Gene
SHC3	Gene
NGF	Gene
CALML5	Gene
BDNF	Gene
SH2B3	Gene
CSK	Gene
CAMK4	Gene
BCL2	Gene
CAMK2A	Gene
CAMK2B	Gene
CAMK2D	Gene
FOXO3	Gene
CAMK2G	Gene
IRS2	Gene
SORT1	Gene
CALML3	Gene
CRK	Gene
SH2B2	Gene
CRKL	Gene
PLCG1	Gene
PLCG2	Gene
ARHGDIA	Gene
CALM3	Gene
ARHGDIB	Gene
CDC42	Gene
RAF1	Gene
SHC1	Gene
RIPK2	Gene
RHOA	Gene
BAD	Gene
PRKCD	Gene
MAGED1	Gene
MAP2K2	Gene
MAP2K1	Gene
MAP2K7	Gene
MAP2K5	Gene
RPS6KA2	Gene
RAPGEF1	Gene
RPS6KA3	Gene
MAPK3	Gene
RPS6KA4	Gene
MAPK7	Gene
KIDINS220	Gene
RAC1	Gene
MAPK1	Gene
RPS6KA1	Gene
HRAS	Gene
PRDM4	Gene
MAPKAPK2	Gene
PSEN1	Gene
NTF4	Gene
IRAK2	Gene
NTF3	Gene
IRAK1	Gene
RAP1A	Gene
RAP1B	Gene
IRAK3	Gene
GAB1	Gene
SHC2	Gene
ATF4	Gene
IRS1	Gene
ZNF274	Gene
NTRK2	Gene
IRS4	Gene
NTRK1	Gene
CALML6	Gene
NTRK3	Gene
ELK1	Gene
APC2	Gene
LEF1	Gene
ERBB2	Gene
ILK	Gene
AXIN1	Gene
AXIN2	Gene
TCF7	Gene
CTNNA1	Gene
TCF7L2	Gene
CTNNA2	Gene
CTNNB1	Gene
ARAF	Gene
TCF7L1	Gene
APC	Gene
CTNNA3	Gene
CDH1	Gene
PRKCB	Gene
PRKCA	Gene
RARB	Gene
PRKCG	Gene
TGFA	Gene
RXRB	Gene
RXRG	Gene
RXRA	Gene
RASSF1	Gene
RASSF5	Gene
FHIT	Gene
STK4	Gene
MCM10	Gene
GMNN	Gene
MCM8	Gene
CDT1	Gene
ACVR1C	Gene
GDF1	Gene
CFC1	Gene
PCSK6	Gene
FURIN	Gene
LEFTY2	Gene
CER1	Gene
NODAL	Gene
FOXH1	Gene
DRAP1	Gene
DAND5	Gene
TDGF1	Gene
LEFTY1	Gene
MYBL2	Gene
MAX	Gene
TOP2A	Gene
DYRK1A	Gene
RBBP4	Gene
LIN9	Gene
LIN54	Gene
LIN52	Gene
LIN37	Gene
POLB	Gene
APEX1	Gene
ADPRHL2	Gene
PARP2	Gene
PARP1	Gene
PARG	Gene
RBM5	Gene
POLR2J	Gene
GCFC2	Gene
PTBP1	Gene
AQR	Gene
NUP160	Gene
POLR2B	Gene
TPR	Gene
THOC3	Gene
ZC3H11A	Gene
NDC1	Gene
CCAR1	Gene
SNRNP40	Gene
U2AF2	Gene
YBX1	Gene
ELAVL1	Gene
GPKOW	Gene
NUP133	Gene
CPSF1	Gene
NUP37	Gene
