nodes	type
10975	Gene
4700	Gene
4731	Gene
90423	Gene
4538	Gene
4539	Gene
4536	Gene
125965	Gene
5464	Gene
4537	Gene
84701	Gene
4535	Gene
10632	Gene
8992	Gene
126328	Gene
4716	Gene
4728	Gene
4717	Gene
4718	Gene
4719	Gene
4729	Gene
4712	Gene
4724	Gene
4713	Gene
4723	Gene
4714	Gene
4726	Gene
4715	Gene
4725	Gene
4720	Gene
4710	Gene
4722	Gene
4711	Gene
1537	Gene
1353	Gene
1355	Gene
211	Gene
212	Gene
132158	Gene
4129	Gene
64902	Gene
4128	Gene
314	Gene
2628	Gene
10993	Gene
8639	Gene
27232	Gene
6470	Gene
23464	Gene
26227	Gene
29958	Gene
6472	Gene
63826	Gene
29968	Gene
635	Gene
2731	Gene
1738	Gene
2593	Gene
5723	Gene
189	Gene
1757	Gene
275	Gene
55349	Gene
875	Gene
1491	Gene
51268	Gene
1610	Gene
316	Gene
219	Gene
35	Gene
36	Gene
18	Gene
217	Gene
34	Gene
39	Gene
3028	Gene
38	Gene
5019	Gene
10449	Gene
259307	Gene
3033	Gene
84693	Gene
3032	Gene
1629	Gene
3030	Gene
4329	Gene
3155	Gene
3712	Gene
594	Gene
27034	Gene
1892	Gene
223	Gene
224	Gene
5096	Gene
26275	Gene
3158	Gene
1962	Gene
3157	Gene
5095	Gene
501	Gene
11112	Gene
30	Gene
64064	Gene
4594	Gene
64087	Gene
586	Gene
549	Gene
587	Gene
593	Gene
56922	Gene
6723	Gene
113451	Gene
2747	Gene
27165	Gene
383	Gene
384	Gene
2746	Gene
2744	Gene
435	Gene
548596	Gene
8974	Gene
6611	Gene
1152	Gene
4846	Gene
4843	Gene
4842	Gene
2806	Gene
2752	Gene
5033	Gene
26	Gene
51056	Gene
79814	Gene
2805	Gene
5831	Gene
445	Gene
5832	Gene
6303	Gene
162417	Gene
262	Gene
1373	Gene
283208	Gene
5009	Gene
58510	Gene
4942	Gene
1158	Gene
95	Gene
112483	Gene
1159	Gene
65263	Gene
5625	Gene
8659	Gene
