nodes	type
REACTOME TRANSCRIPTION OF E2F TARGETS UNDER NEGATIVE CONTROL BY DREAM COMPLEX	Pathway
REACTOME TRANSCRIPTION OF E2F TARGETS UNDER NEGATIVE CONTROL BY P107 RBL1 AND P130 RBL2 IN COMPLEX WITH HDAC1	Pathway
REACTOME PROCESSIVE SYNTHESIS ON THE C STRAND OF THE TELOMERE	Pathway
REACTOME TELOMERE C STRAND LAGGING STRAND SYNTHESIS	Pathway
REACTOME AKT PHOSPHORYLATES TARGETS IN THE NUCLEUS	Pathway
REACTOME TRANSCRIPTIONAL ACTIVITY OF SMAD2 SMAD3 SMAD4 HETEROTRIMER	Pathway
REACTOME SMAD2 SMAD3 SMAD4 HETEROTRIMER REGULATES TRANSCRIPTION	Pathway
REACTOME PI3K AKT SIGNALING IN CANCER	Pathway
REACTOME SIGNALING BY TYPE 1 INSULIN LIKE GROWTH FACTOR 1 RECEPTOR IGF1R	Pathway
REACTOME ESTABLISHMENT OF SISTER CHROMATID COHESION	Pathway
REACTOME COHESIN LOADING ONTO CHROMATIN	Pathway
REACTOME SENESCENCE ASSOCIATED SECRETORY PHENOTYPE SASP	Pathway
REACTOME REGULATION OF PLK1 ACTIVITY AT G2 M TRANSITION	Pathway
REACTOME SUMOYLATION OF DNA DAMAGE RESPONSE AND REPAIR PROTEINS	Pathway
REACTOME REGULATION OF HSF1 MEDIATED HEAT SHOCK RESPONSE	Pathway
REACTOME HSF1 ACTIVATION	Pathway
REACTOME CELLULAR RESPONSE TO HEAT STRESS	Pathway
REACTOME CLASS A 1 RHODOPSIN LIKE RECEPTORS	Pathway
REACTOME MISMATCH REPAIR	Pathway
REACTOME PCNA DEPENDENT LONG PATCH BASE EXCISION REPAIR	Pathway
REACTOME SHC MEDIATED CASCADE FGFR1	Pathway
REACTOME PI 3K CASCADE FGFR1	Pathway
REACTOME FRS MEDIATED FGFR1 SIGNALING	Pathway
REACTOME CONSTITUTIVE SIGNALING BY AKT1 E17K IN CANCER	Pathway
REACTOME HDR THROUGH SINGLE STRAND ANNEALING SSA	Pathway
REACTOME HDR THROUGH HOMOLOGOUS RECOMBINATION HRR	Pathway
REACTOME RESOLUTION OF D LOOP STRUCTURES	Pathway
REACTOME RESOLUTION OF D LOOP STRUCTURES THROUGH SYNTHESIS DEPENDENT STRAND ANNEALING SDSA	Pathway
REACTOME HOMOLOGOUS DNA PAIRING AND STRAND EXCHANGE	Pathway
REACTOME DNA DAMAGE RECOGNITION IN GG NER	Pathway
REACTOME INTERLEUKIN 6 FAMILY SIGNALING	Pathway
REACTOME TP53 REGULATES TRANSCRIPTION OF CELL CYCLE GENES	Pathway
REACTOME TP53 REGULATES TRANSCRIPTION OF GENES INVOLVED IN G2 CELL CYCLE ARREST	Pathway
REACTOME TP53 REGULATES TRANSCRIPTION OF GENES INVOLVED IN G1 CELL CYCLE ARREST	Pathway
REACTOME REGULATION OF TP53 ACTIVITY THROUGH PHOSPHORYLATION	Pathway
REACTOME RNA POLYMERASE I PROMOTER ESCAPE	Pathway
REACTOME TRANSCRIPTIONAL REGULATION BY RUNX1	Pathway
REACTOME ESR MEDIATED SIGNALING	Pathway
REACTOME SIGNALING BY NUCLEAR RECEPTORS	Pathway
REACTOME EXTRA NUCLEAR ESTROGEN SIGNALING	Pathway
REACTOME INTERLEUKIN RECEPTOR SHC SIGNALING	Pathway
REACTOME REGULATION OF LOCALIZATION OF FOXO TRANSCRIPTION FACTORS	Pathway
REACTOME FOXO MEDIATED TRANSCRIPTION OF CELL DEATH GENES	Pathway
REACTOME FOXO MEDIATED TRANSCRIPTION OF OXIDATIVE STRESS METABOLIC AND NEURONAL GENES	Pathway
REACTOME REGULATION OF FOXO TRANSCRIPTIONAL ACTIVITY BY ACETYLATION	Pathway
REACTOME FOXO MEDIATED TRANSCRIPTION OF CELL CYCLE GENES	Pathway
DNA Replication WikiPathways 20190910 WP466 Homo sapiens	Pathway
Angiopoietin Like Protein 8 Regulatory Pathway WikiPathways 20190910 WP3915 Homo sapiens	Pathway
DNA Damage Response WikiPathways 20190910 WP707 Homo sapiens	Pathway
Gastric Cancer Network 1 WikiPathways 20190910 WP2361 Homo sapiens	Pathway
Kit receptor signaling pathway WikiPathways 20190910 WP304 Homo sapiens	Pathway
IL 5 Signaling Pathway WikiPathways 20190910 WP127 Homo sapiens	Pathway
miRNA regulation of p53 pathway in prostate cancer WikiPathways 20190910 WP3982 Homo sapiens	Pathway
Overview of leukocyte intrinsic Hippo pathway functions WikiPathways 20190910 WP4542 Homo sapiens	Pathway
NAD metabolism  sirtuins and aging WikiPathways 20190910 WP3630 Homo sapiens	Pathway
Lung fibrosis WikiPathways 20190910 WP3624 Homo sapiens	Pathway
Insulin Signaling WikiPathways 20190910 WP481 Homo sapiens	Pathway
DNA IR damage and cellular response via ATR WikiPathways 20190910 WP4016 Homo sapiens	Pathway
Leptin signaling pathway WikiPathways 20190910 WP2034 Homo sapiens	Pathway
Gastric Cancer Network 2 WikiPathways 20190910 WP2363 Homo sapiens	Pathway
Alpha 6 Beta 4 signaling pathway WikiPathways 20190910 WP244 Homo sapiens	Pathway
ATM Signaling Network in Development and Disease  WikiPathways 20190910 WP3878 Homo sapiens	Pathway
miRNA Regulation of DNA Damage Response WikiPathways 20190910 WP1530 Homo sapiens	Pathway
Regulation of Apoptosis by Parathyroid Hormone related Protein WikiPathways 20190910 WP3872 Homo sapiens	Pathway
IL 2 Signaling Pathway WikiPathways 20190910 WP49 Homo sapiens	Pathway
DNA IR Double Strand Breaks  DSBs  and cellular response via ATM WikiPathways 20190910 WP3959 Homo sapiens	Pathway
G13 Signaling Pathway WikiPathways 20190910 WP524 Homo sapiens	Pathway
Endometrial cancer WikiPathways 20190910 WP4155 Homo sapiens	Pathway
G1 to S cell cycle control WikiPathways 20190910 WP45 Homo sapiens	Pathway
Integrated Cancer Pathway WikiPathways 20190910 WP1971 Homo sapiens	Pathway
Cell Cycle WikiPathways 20190910 WP179 Homo sapiens	Pathway
Retinoblastoma Gene in Cancer WikiPathways 20190910 WP2446 Homo sapiens	Pathway
Cytokines and Inflammatory Response WikiPathways 20190910 WP530 Homo sapiens	Pathway
Focal Adhesion PI3K Akt mTOR signaling pathway WikiPathways 20190910 WP3932 Homo sapiens	Pathway
Non small cell lung cancer WikiPathways 20190910 WP4255 Homo sapiens	Pathway
Type 2 papillary renal cell carcinoma WikiPathways 20190910 WP4241 Homo sapiens	Pathway
Oligodendrocyte Specification and differentiation including remyelination   leading to Myelin Components for CNS WikiPathways 20190910 WP4304 Homo sapiens	Pathway
 Control of immune tolerance by vasoactive intestinal peptide WikiPathways 20190910 WP4484 Homo sapiens	Pathway
Selective expression of chemokine receptors during T cell polarization WikiPathways 20190910 WP4494 Homo sapiens	Pathway
Translation inhibitors in chronically activated PDGFRA cells WikiPathways 20190910 WP4566 Homo sapiens	Pathway
10200	Gene
23517	Gene
219988	Gene
54512	Gene
87178	Gene
23404	Gene
6499	Gene
22803	Gene
56915	Gene
9652	Gene
11157	Gene
51010	Gene
51013	Gene
23644	Gene
4849	Gene
4848	Gene
54464	Gene
5073	Gene
10438	Gene
10914	Gene
1656	Gene
55802	Gene
84186	Gene
2023	Gene
4850	Gene
29883	Gene
11044	Gene
11340	Gene
3313	Gene
27257	Gene
246175	Gene
118460	Gene
51690	Gene
51691	Gene
9125	Gene
25804	Gene
23019	Gene
25904	Gene
23016	Gene
27258	Gene
22894	Gene
2027	Gene
2026	Gene
57472	Gene
57819	Gene
167227	Gene
3329	Gene
5393	Gene
5394	Gene
80153	Gene
28960	Gene
56903	Gene
196513	Gene
80349	Gene
9337	Gene
64895	Gene
1763	Gene
56655	Gene
54107	Gene
5557	Gene
5558	Gene
57804	Gene
5984	Gene
5985	Gene
6117	Gene
5422	Gene
6119	Gene
10714	Gene
79621	Gene
6118	Gene
5111	Gene
29935	Gene
246243	Gene
84153	Gene
4173	Gene
5427	Gene
4172	Gene
4175	Gene
4174	Gene
23649	Gene
4176	Gene
5424	Gene
5425	Gene
10535	Gene
5426	Gene
5981	Gene
5983	Gene
5982	Gene
4171	Gene
2237	Gene
3978	Gene
6742	Gene
27030	Gene
4292	Gene
4436	Gene
4437	Gene
5395	Gene
2956	Gene
9156	Gene
8438	Gene
7517	Gene
5890	Gene
4683	Gene
5893	Gene
5892	Gene
7516	Gene
641	Gene
146956	Gene
5888	Gene
10111	Gene
5889	Gene
4361	Gene
675	Gene
80198	Gene
7156	Gene
25788	Gene
7979	Gene
8940	Gene
10344	Gene
8741	Gene
3082	Gene
6349	Gene
8742	Gene
943	Gene
8743	Gene
6347	Gene
944	Gene
8744	Gene
6348	Gene
8740	Gene
50615	Gene
6352	Gene
6351	Gene
6357	Gene
55540	Gene
6356	Gene
6355	Gene
6354	Gene
608	Gene
8600	Gene
51561	Gene
1489	Gene
2321	Gene
6358	Gene
2322	Gene
6359	Gene
2323	Gene
2324	Gene
50616	Gene
939	Gene
6362	Gene
6361	Gene
6364	Gene
6363	Gene
6366	Gene
6368	Gene
6367	Gene
7173	Gene
6360	Gene
1437	Gene
1436	Gene
115650	Gene
3597	Gene
1435	Gene
5618	Gene
5617	Gene
8764	Gene
338376	Gene
6369	Gene
1439	Gene
1438	Gene
7042	Gene
7040	Gene
6376	Gene
149233	Gene
6375	Gene
6374	Gene
6373	Gene
6372	Gene
729230	Gene
6370	Gene
1440	Gene
7048	Gene
7046	Gene
4233	Gene
7043	Gene
2833	Gene
1441	Gene
23529	Gene
27190	Gene
6387	Gene
2826	Gene
9180	Gene
2829	Gene
50604	Gene
83729	Gene
80301	Gene
3627	Gene
4352	Gene
10850	Gene
3625	Gene
3626	Gene
163702	Gene
3624	Gene
4254	Gene
55504	Gene
7852	Gene
7850	Gene
3815	Gene
970	Gene
4982	Gene
3953	Gene
10663	Gene
84957	Gene
3952	Gene
29949	Gene
4049	Gene
3605	Gene
3606	Gene
3604	Gene
5008	Gene
8200	Gene
3601	Gene
3600	Gene
10563	Gene
4050	Gene
8718	Gene
4055	Gene
58985	Gene
959	Gene
958	Gene
2690	Gene
8807	Gene
4283	Gene
23765	Gene
2688	Gene
3976	Gene
2689	Gene
3977	Gene
8809	Gene
7292	Gene
7293	Gene
1524	Gene
414062	Gene
5159	Gene
1896	Gene
9547	Gene
3552	Gene
10913	Gene
11009	Gene
1270	Gene
1271	Gene
10673	Gene
56034	Gene
7422	Gene
7424	Gene
7423	Gene
10803	Gene
4804	Gene
116379	Gene
5154	Gene
94	Gene
5155	Gene
9560	Gene
93	Gene
5156	Gene
92	Gene
91	Gene
90	Gene
2277	Gene
23495	Gene
64806	Gene
9966	Gene
2056	Gene
3581	Gene
2919	Gene
7124	Gene
643	Gene
3442	Gene
3441	Gene
3440	Gene
8771	Gene
3439	Gene
3579	Gene
3577	Gene
3578	Gene
56477	Gene
3575	Gene
3576	Gene
3594	Gene
3593	Gene
3596	Gene
3595	Gene
3590	Gene
3592	Gene
3791	Gene
7133	Gene
3451	Gene
7132	Gene
3452	Gene
8784	Gene
3443	Gene
1232	Gene
51330	Gene
3444	Gene
1233	Gene
3445	Gene
1234	Gene
3446	Gene
1235	Gene
3447	Gene
1236	Gene
3448	Gene
1237	Gene
3449	Gene
55801	Gene
58191	Gene
3586	Gene
60401	Gene
3587	Gene
3588	Gene
2057	Gene
3589	Gene
3563	Gene
3562	Gene
3561	Gene
1956	Gene
3560	Gene
1230	Gene
6846	Gene
3460	Gene
1950	Gene
6346	Gene
8797	Gene
3458	Gene
3459	Gene
8793	Gene
3456	Gene
8792	Gene
8795	Gene
3454	Gene
8794	Gene
3455	Gene
3556	Gene
3553	Gene
269	Gene
3554	Gene
268	Gene
3559	Gene
53833	Gene
59067	Gene
8995	Gene
3558	Gene
53832	Gene
659	Gene
657	Gene
3570	Gene
658	Gene
64109	Gene
3572	Gene
56832	Gene
3574	Gene
5196	Gene
2920	Gene
2921	Gene
650	Gene
5197	Gene
655	Gene
282617	Gene
282618	Gene
27242	Gene
355	Gene
282616	Gene
356	Gene
3467	Gene
5473	Gene
85480	Gene
3565	Gene
3566	Gene
3567	Gene
3568	Gene
3569	Gene
8881	Gene
8317	Gene
8318	Gene
4616	Gene
10926	Gene
64682	Gene
1387	Gene
4193	Gene
25	Gene
27127	Gene
10912	Gene
472	Gene
545	Gene
51434	Gene
5934	Gene
51433	Gene
5933	Gene
4609	Gene
8555	Gene
8243	Gene
8556	Gene
6500	Gene
1647	Gene
10274	Gene
5347	Gene
9978	Gene
10735	Gene
23594	Gene
595	Gene
8379	Gene
7529	Gene
890	Gene
699	Gene
1111	Gene
494551	Gene
9232	Gene
996	Gene
994	Gene
995	Gene
993	Gene
990	Gene
991	Gene
9184	Gene
7534	Gene
894	Gene
7533	Gene
891	Gene
7532	Gene
7531	Gene
898	Gene
23595	Gene
896	Gene
10744	Gene
2810	Gene
1869	Gene
7027	Gene
7709	Gene
983	Gene
9700	Gene
10393	Gene
5885	Gene
701	Gene
51529	Gene
5925	Gene
6502	Gene
8454	Gene
4088	Gene
4089	Gene
29882	Gene
7029	Gene
5591	Gene
4085	Gene
29945	Gene
4087	Gene
10971	Gene
11200	Gene
8697	Gene
2033	Gene
2932	Gene
1029	Gene
1028	Gene
1027	Gene
1026	Gene
1032	Gene
8900	Gene
1030	Gene
1031	Gene
51343	Gene
9126	Gene
25847	Gene
7272	Gene
9088	Gene
1017	Gene
246184	Gene
1875	Gene
1019	Gene
7465	Gene
1874	Gene
1871	Gene
7157	Gene
1870	Gene
4998	Gene
4999	Gene
9134	Gene
1021	Gene
5000	Gene
9133	Gene
1022	Gene
10459	Gene
5001	Gene
3065	Gene
3066	Gene
902	Gene
85417	Gene
842	Gene
841	Gene
7249	Gene
3479	Gene
25898	Gene
64393	Gene
3486	Gene
50484	Gene
575	Gene
7161	Gene
5268	Gene
56475	Gene
8493	Gene
637	Gene
4194	Gene
581	Gene
63970	Gene
836	Gene
9540	Gene
5366	Gene
55367	Gene
64326	Gene
64065	Gene
9538	Gene
83667	Gene
143686	Gene
317	Gene
6241	Gene
27113	Gene
1643	Gene
51512	Gene
6477	Gene
3732	Gene
5728	Gene
27244	Gene
5054	Gene
54205	Gene
55240	Gene
51246	Gene
900	Gene
7057	Gene
901	Gene
843	Gene
1147	Gene
7706	Gene
9140	Gene
9755	Gene
8772	Gene
80143	Gene
8737	Gene
5601	Gene
5602	Gene
9636	Gene
5600	Gene
4214	Gene
5603	Gene
3551	Gene
6885	Gene
26007	Gene
55593	Gene
1654	Gene
9641	Gene
4790	Gene
4793	Gene
4792	Gene
3661	Gene
64135	Gene
8517	Gene
5599	Gene
1432	Gene
6300	Gene
5970	Gene
8653	Gene
7189	Gene
7187	Gene
7186	Gene
10010	Gene
1540	Gene
8717	Gene
9474	Gene
23586	Gene
5300	Gene
57506	Gene
79132	Gene
29110	Gene
340061	Gene
64343	Gene
79671	Gene
3665	Gene
54941	Gene
6774	Gene
6775	Gene
6772	Gene
6773	Gene
10401	Gene
7297	Gene
9655	Gene
8027	Gene
81848	Gene
3716	Gene
207	Gene
208	Gene
3718	Gene
3717	Gene
10000	Gene
6777	Gene
6776	Gene
6778	Gene
161742	Gene
23533	Gene
3598	Gene
8554	Gene
8651	Gene
9021	Gene
1442	Gene
598	Gene
51588	Gene
23624	Gene
6655	Gene
5781	Gene
200734	Gene
8835	Gene
1154	Gene
5777	Gene
10379	Gene
9063	Gene
2885	Gene
6654	Gene
868	Gene
867	Gene
8503	Gene
10253	Gene
10252	Gene
10254	Gene
122809	Gene
5290	Gene
5291	Gene
5292	Gene
5293	Gene
10251	Gene
5294	Gene
30837	Gene
5295	Gene
5296	Gene
3725	Gene
10818	Gene
805	Gene
801	Gene
5170	Gene
27330	Gene
4217	Gene
9252	Gene
673	Gene
4215	Gene
399694	Gene
4893	Gene
25970	Gene
4794	Gene
27018	Gene
3845	Gene
53358	Gene
4803	Gene
51806	Gene
627	Gene
10019	Gene
1445	Gene
814	Gene
596	Gene
815	Gene
816	Gene
817	Gene
2309	Gene
818	Gene
8660	Gene
6272	Gene
810	Gene
1398	Gene
10603	Gene
1399	Gene
5335	Gene
5336	Gene
396	Gene
808	Gene
397	Gene
998	Gene
5894	Gene
6464	Gene
8767	Gene
387	Gene
572	Gene
51135	Gene
5580	Gene
9500	Gene
5605	Gene
5604	Gene
5609	Gene
5607	Gene
6196	Gene
2889	Gene
6197	Gene
5595	Gene
8986	Gene
5598	Gene
57498	Gene
5879	Gene
5594	Gene
6195	Gene
3265	Gene
11108	Gene
9261	Gene
5663	Gene
4909	Gene
3656	Gene
4908	Gene
3654	Gene
5906	Gene
5908	Gene
11213	Gene
2549	Gene
25759	Gene
468	Gene
3667	Gene
10782	Gene
4915	Gene
8471	Gene
4914	Gene
163688	Gene
4916	Gene
2002	Gene
10297	Gene
51176	Gene
2064	Gene
3611	Gene
8312	Gene
8313	Gene
6932	Gene
1495	Gene
6934	Gene
1496	Gene
1499	Gene
369	Gene
83439	Gene
324	Gene
29119	Gene
999	Gene
5579	Gene
5578	Gene
5915	Gene
5582	Gene
7039	Gene
6257	Gene
6258	Gene
6256	Gene
11186	Gene
83593	Gene
2272	Gene
6789	Gene
55388	Gene
51053	Gene
84515	Gene
81620	Gene
130399	Gene
2657	Gene
55997	Gene
5046	Gene
5045	Gene
7044	Gene
9350	Gene
4838	Gene
8928	Gene
10589	Gene
199699	Gene
6997	Gene
10637	Gene
4605	Gene
4149	Gene
7153	Gene
1859	Gene
5928	Gene
286826	Gene
132660	Gene
91750	Gene
55957	Gene
5423	Gene
328	Gene
54936	Gene
10038	Gene
142	Gene
8505	Gene
10181	Gene
5439	Gene
6936	Gene
5725	Gene
9716	Gene
23279	Gene
5431	Gene
7175	Gene
84321	Gene
9877	Gene
55706	Gene
55749	Gene
9410	Gene
11338	Gene
4904	Gene
1994	Gene
27238	Gene
55746	Gene
29894	Gene
79023	Gene
56949	Gene
6626	Gene
9984	Gene
10450	Gene
51729	Gene
81929	Gene
10523	Gene
55696	Gene
51593	Gene
10992	Gene
2521	Gene
10081	Gene
3183	Gene
10762	Gene
8086	Gene
23511	Gene
988	Gene
4670	Gene
5434	Gene
10291	Gene
6634	Gene
24144	Gene
4809	Gene
5435	Gene
84271	Gene
8563	Gene
55954	Gene
84844	Gene
22938	Gene
6430	Gene
8106	Gene
1477	Gene
8480	Gene
24148	Gene
51340	Gene
1478	Gene
51213	Gene
10084	Gene
9688	Gene
5432	Gene
3191	Gene
6625	Gene
8175	Gene
5438	Gene
11100	Gene
26121	Gene
57794	Gene
8896	Gene
23658	Gene
1993	Gene
22794	Gene
4927	Gene
1655	Gene
9343	Gene
1665	Gene
3312	Gene
27339	Gene
4928	Gene
55110	Gene
57122	Gene
8683	Gene
6428	Gene
9631	Gene
23398	Gene
22916	Gene
51639	Gene
23451	Gene
6432	Gene
6429	Gene
10286	Gene
9295	Gene
9129	Gene
25949	Gene
51692	Gene
2733	Gene
10285	Gene
348995	Gene
11193	Gene
84248	Gene
3181	Gene
10212	Gene
6431	Gene
11017	Gene
6631	Gene
9972	Gene
65109	Gene
79902	Gene
2962	Gene
57187	Gene
6633	Gene
8189	Gene
6628	Gene
6629	Gene
10236	Gene
22826	Gene
8021	Gene
3188	Gene
6638	Gene
85313	Gene
79228	Gene
6627	Gene
23225	Gene
29107	Gene
56259	Gene
10250	Gene
84991	Gene
84950	Gene
3178	Gene
1660	Gene
11097	Gene
6426	Gene
6434	Gene
55339	Gene
9128	Gene
4686	Gene
51645	Gene
3184	Gene
53371	Gene
85437	Gene
6636	Gene
9818	Gene
9785	Gene
9775	Gene
10907	Gene
5546	Gene
10262	Gene
6637	Gene
23020	Gene
5433	Gene
81608	Gene
57721	Gene
9879	Gene
9589	Gene
27316	Gene
5440	Gene
79869	Gene
51503	Gene
1977	Gene
10283	Gene
3192	Gene
5903	Gene
23165	Gene
6396	Gene
7307	Gene
26097	Gene
10898	Gene
199746	Gene
6427	Gene
79622	Gene
10482	Gene
4116	Gene
129401	Gene
57703	Gene
80145	Gene
23350	Gene
5437	Gene
7884	Gene
10569	Gene
3190	Gene
51585	Gene
56339	Gene
53981	Gene
11051	Gene
6632	Gene
23524	Gene
5436	Gene
7536	Gene
51362	Gene
154007	Gene
10713	Gene
3187	Gene
10421	Gene
8233	Gene
5093	Gene
3185	Gene
83443	Gene
220988	Gene
5356	Gene
10465	Gene
10978	Gene
10594	Gene
9416	Gene
9092	Gene
1479	Gene
23283	Gene
5441	Gene
10949	Gene
22827	Gene
5430	Gene
6635	Gene
10946	Gene
10189	Gene
11066	Gene
285755	Gene
55599	Gene
2963	Gene
10772	Gene
23450	Gene
9883	Gene
55660	Gene
5094	Gene
11325	Gene
7919	Gene
8449	Gene
84324	Gene
10921	Gene
23636	Gene
53938	Gene
57461	Gene
9939	Gene
56001	Gene
728343	Gene
100101267	Gene
54883	Gene
5048	Gene
5689	Gene
672	Gene
5704	Gene
51230	Gene
55166	Gene
54908	Gene
5685	Gene
5525	Gene
7158	Gene
3796	Gene
23198	Gene
5526	Gene
7321	Gene
54820	Gene
23332	Gene
1781	Gene
5527	Gene
10403	Gene
7514	Gene
9183	Gene
5705	Gene
51720	Gene
8655	Gene
332	Gene
57060	Gene
10726	Gene
5720	Gene
63967	Gene
5711	Gene
5714	Gene
79019	Gene
5905	Gene
5706	Gene
5684	Gene
5700	Gene
5693	Gene
5687	Gene
5721	Gene
5688	Gene
22919	Gene
5932	Gene
5716	Gene
2491	Gene
80152	Gene
5713	Gene
5516	Gene
29086	Gene
5518	Gene
5683	Gene
5709	Gene
5717	Gene
7468	Gene
25906	Gene
5715	Gene
9025	Gene
5528	Gene
5810	Gene
5515	Gene
1058	Gene
10213	Gene
7341	Gene
25936	Gene
1063	Gene
91687	Gene
81930	Gene
11130	Gene
64105	Gene
80776	Gene
8970	Gene
9491	Gene
5690	Gene
8924	Gene
5682	Gene
151648	Gene
6249	Gene
10197	Gene
55143	Gene
1783	Gene
3364	Gene
83990	Gene
5695	Gene
9656	Gene
5519	Gene
57082	Gene
79172	Gene
580	Gene
1062	Gene
84643	Gene
5694	Gene
23421	Gene
11004	Gene
5686	Gene
83540	Gene
6233	Gene
51143	Gene
1060	Gene
255626	Gene
3619	Gene
79980	Gene
7316	Gene
144715	Gene
79682	Gene
57405	Gene
5884	Gene
64946	Gene
25909	Gene
5529	Gene
143471	Gene
220134	Gene
9577	Gene
3017	Gene
8365	Gene
1780	Gene
5710	Gene
5692	Gene
57551	Gene
11243	Gene
5701	Gene
25946	Gene
147841	Gene
84142	Gene
151246	Gene
23122	Gene
9861	Gene
11073	Gene
165918	Gene
84126	Gene
7486	Gene
5702	Gene
119504	Gene
55839	Gene
81565	Gene
79003	Gene
8290	Gene
7336	Gene
7324	Gene
7314	Gene
83695	Gene
5883	Gene
10524	Gene
5707	Gene
55055	Gene
11065	Gene
5708	Gene
9793	Gene
378708	Gene
116028	Gene
7334	Gene
6232	Gene
80010	Gene
9212	Gene
55920	Gene
8347	Gene
348235	Gene
9735	Gene
8349	Gene
8340	Gene
79184	Gene
5719	Gene
5501	Gene
54821	Gene
401541	Gene
3014	Gene
128312	Gene
8364	Gene
1778	Gene
5718	Gene
8363	Gene
121504	Gene
85236	Gene
5696	Gene
5699	Gene
7311	Gene
122706	Gene
8341	Gene
54145	Gene
5698	Gene
140735	Gene
554313	Gene
8370	Gene
8362	Gene
8342	Gene
8339	Gene
8344	Gene
8361	Gene
8348	Gene
8368	Gene
8345	Gene
5691	Gene
8294	Gene
3018	Gene
8367	Gene
8360	Gene
8343	Gene
8346	Gene
8359	Gene
8366	Gene
9971	Gene
10062	Gene
6095	Gene
5241	Gene
2099	Gene
3172	Gene
7421	Gene
5467	Gene
7101	Gene
2908	Gene
29959	Gene
2494	Gene
8013	Gene
2103	Gene
7181	Gene
3164	Gene
5469	Gene
7067	Gene
9572	Gene
7376	Gene
5914	Gene
8431	Gene
5468	Gene
2516	Gene
2100	Gene
9611	Gene
9970	Gene
6097	Gene
8856	Gene
2649	Gene
29982	Gene
7068	Gene
4306	Gene
4929	Gene
2063	Gene
3174	Gene
367	Gene
190	Gene
5916	Gene
2101	Gene
9975	Gene
7025	Gene
7182	Gene
126382	Gene
5465	Gene
2104	Gene
9612	Gene
6096	Gene
10002	Gene
4331	Gene
5753	Gene
26271	Gene
91768	Gene
28227	Gene
7083	Gene
1876	Gene
1163	Gene
7298	Gene
6714	Gene
5520	Gene
1719	Gene
4067	Gene
51384	Gene
799	Gene
6863	Gene
6915	Gene
2696	Gene
50865	Gene
846	Gene
153	Gene
7504	Gene
10911	Gene
5733	Gene
23596	Gene
10886	Gene
7478	Gene
9170	Gene
10203	Gene
9340	Gene
51083	Gene
1815	Gene
10681	Gene
6343	Gene
51052	Gene
6865	Gene
7479	Gene
2782	Gene
1906	Gene
117	Gene
27334	Gene
6344	Gene
4986	Gene
7481	Gene
2778	Gene
5744	Gene
4295	Gene
623	Gene
11255	Gene
4923	Gene
551	Gene
128674	Gene
5173	Gene
5020	Gene
4935	Gene
5956	Gene
680	Gene
3356	Gene
2862	Gene
7976	Gene
3972	Gene
64748	Gene
7472	Gene
7434	Gene
1395	Gene
2692	Gene
727	Gene
6019	Gene
7473	Gene
5539	Gene
2798	Gene
10874	Gene
887	Gene
796	Gene
11211	Gene
2784	Gene
4988	Gene
2740	Gene
2916	Gene
3274	Gene
3827	Gene
7474	Gene
59345	Gene
7433	Gene
5443	Gene
2641	Gene
6869	Gene
7475	Gene
84634	Gene
4985	Gene
1889	Gene
