SYMBOL	GO TERM	GO NAME	TAXON ID
SMUG1	GO:0006974	cellular response to DNA damage stimulus	9606
SUPT16H	GO:0006974	cellular response to DNA damage stimulus	9606
RECQL	GO:0006974	cellular response to DNA damage stimulus	9606
CNOT9	GO:0006974	cellular response to DNA damage stimulus	9606
HIST3H2A	GO:0006974	cellular response to DNA damage stimulus	9606
SIX6OS1	GO:0006974	cellular response to DNA damage stimulus	9606
MGMT	GO:0006974	cellular response to DNA damage stimulus	9606
DTX3L	GO:0006974	cellular response to DNA damage stimulus	9606
BRSK1	GO:0006974	cellular response to DNA damage stimulus	9606
TTC5	GO:0006974	cellular response to DNA damage stimulus	9606
MAPK1	GO:0006974	cellular response to DNA damage stimulus	9606
UVSSA	GO:0006974	cellular response to DNA damage stimulus	9606
CCAR2	GO:0006974	cellular response to DNA damage stimulus	9606
EID3	GO:0006974	cellular response to DNA damage stimulus	9606
SHISA5	GO:0006974	cellular response to DNA damage stimulus	9606
GML	GO:0006974	cellular response to DNA damage stimulus	9606
CDC5L	GO:0006974	cellular response to DNA damage stimulus	9606
RAD52	GO:0006974	cellular response to DNA damage stimulus	9606
PARP9	GO:0006974	cellular response to DNA damage stimulus	9606
SFN	GO:0006974	cellular response to DNA damage stimulus	9606
PARK7	GO:0006974	cellular response to DNA damage stimulus	9606
UNG	GO:0006974	cellular response to DNA damage stimulus	9606
FOXN3	GO:0006974	cellular response to DNA damage stimulus	9606
XRCC5	GO:0006974	cellular response to DNA damage stimulus	9606
EMSY	GO:0006974	cellular response to DNA damage stimulus	9606
SFPQ	GO:0006974	cellular response to DNA damage stimulus	9606
FANCC	GO:0006974	cellular response to DNA damage stimulus	9606
ASTE1	GO:0006974	cellular response to DNA damage stimulus	9606
CDK3	GO:0006974	cellular response to DNA damage stimulus	9606
THOC5	GO:0006974	cellular response to DNA damage stimulus	9606
PWWP3A	GO:0006974	cellular response to DNA damage stimulus	9606
USP43	GO:0006974	cellular response to DNA damage stimulus	9606
USP45	GO:0006974	cellular response to DNA damage stimulus	9606
USP51	GO:0006974	cellular response to DNA damage stimulus	9606
ERCC5	GO:0006974	cellular response to DNA damage stimulus	9606
SWI5	GO:0006974	cellular response to DNA damage stimulus	9606
PARP10	GO:0006974	cellular response to DNA damage stimulus	9606
PRMT1	GO:0006974	cellular response to DNA damage stimulus	9606
CBX1	GO:0006974	cellular response to DNA damage stimulus	9606
AEN	GO:0006974	cellular response to DNA damage stimulus	9606
ARID3A	GO:0006974	cellular response to DNA damage stimulus	9606
CIB1	GO:0006974	cellular response to DNA damage stimulus	9606
ZNF365	GO:0006974	cellular response to DNA damage stimulus	9606
TERF2	GO:0006974	cellular response to DNA damage stimulus	9606
RNF138	GO:0006974	cellular response to DNA damage stimulus	9606
POLB	GO:0006974	cellular response to DNA damage stimulus	9606
PMS2P5	GO:0006974	cellular response to DNA damage stimulus	9606
SIRT4	GO:0006974	cellular response to DNA damage stimulus	9606
NEK4	GO:0006974	cellular response to DNA damage stimulus	9606
BIVM-ERCC5	GO:0006974	cellular response to DNA damage stimulus	9606
ATP23	GO:0006974	cellular response to DNA damage stimulus	9606
NPAS2	GO:0006974	cellular response to DNA damage stimulus	9606
MNAT1	GO:0006974	cellular response to DNA damage stimulus	9606
CCNH	GO:0006974	cellular response to DNA damage stimulus	9606
NSMCE1	GO:0006974	cellular response to DNA damage stimulus	9606
RBBP8	GO:0006974	cellular response to DNA damage stimulus	9606
PSMD14	GO:0006974	cellular response to DNA damage stimulus	9606
RNF168	GO:0006974	cellular response to DNA damage stimulus	9606
UFD1	GO:0006974	cellular response to DNA damage stimulus	9606
COPS6	GO:0006974	cellular response to DNA damage stimulus	9606
UBE2B	GO:0006974	cellular response to DNA damage stimulus	9606
USP3	GO:0006974	cellular response to DNA damage stimulus	9606
EYA3	GO:0006974	cellular response to DNA damage stimulus	9606
SHLD1	GO:0006974	cellular response to DNA damage stimulus	9606
HMGB2	GO:0006974	cellular response to DNA damage stimulus	9606
DCLRE1B	GO:0006974	cellular response to DNA damage stimulus	9606
HIPK1	GO:0006974	cellular response to DNA damage stimulus	9606
DOT1L	GO:0006974	cellular response to DNA damage stimulus	9606
CCDC13	GO:0006974	cellular response to DNA damage stimulus	9606
RBBP5	GO:0006974	cellular response to DNA damage stimulus	9606
FANCM	GO:0006974	cellular response to DNA damage stimulus	9606
NSD2	GO:0006974	cellular response to DNA damage stimulus	9606
ACTL6A	GO:0006974	cellular response to DNA damage stimulus	9606
CHEK2	GO:0006974	cellular response to DNA damage stimulus	9606
NONO	GO:0006974	cellular response to DNA damage stimulus	9606
FAAP20	GO:0006974	cellular response to DNA damage stimulus	9606
SLF2	GO:0006974	cellular response to DNA damage stimulus	9606
BRCA2	GO:0006974	cellular response to DNA damage stimulus	9606
DYRK2	GO:0006974	cellular response to DNA damage stimulus	9606
H2AFX	GO:0006974	cellular response to DNA damage stimulus	9606
CARM1	GO:0006974	cellular response to DNA damage stimulus	9606
DNA2	GO:0006974	cellular response to DNA damage stimulus	9606
MAPK15	GO:0006974	cellular response to DNA damage stimulus	9606
TFDP3	GO:0006974	cellular response to DNA damage stimulus	9606
MORF4L2	GO:0006974	cellular response to DNA damage stimulus	9606
PCLAF	GO:0006974	cellular response to DNA damage stimulus	9606
UBB	GO:0006974	cellular response to DNA damage stimulus	9606
EYA2	GO:0006974	cellular response to DNA damage stimulus	9606
SGK1	GO:0006974	cellular response to DNA damage stimulus	9606
CETN2	GO:0006974	cellular response to DNA damage stimulus	9606
SLC30A9	GO:0006974	cellular response to DNA damage stimulus	9606
SESN2	GO:0006974	cellular response to DNA damage stimulus	9606
WDR48	GO:0006974	cellular response to DNA damage stimulus	9606
ERCC6	GO:0006974	cellular response to DNA damage stimulus	9606
TLK2	GO:0006974	cellular response to DNA damage stimulus	9606
RINT1	GO:0006974	cellular response to DNA damage stimulus	9606
BIVM	GO:0006974	cellular response to DNA damage stimulus	9606
RPAIN	GO:0006974	cellular response to DNA damage stimulus	9606
ZMAT3	GO:0006974	cellular response to DNA damage stimulus	9606
CDK2	GO:0006974	cellular response to DNA damage stimulus	9606
LIG1	GO:0006974	cellular response to DNA damage stimulus	9606
ALKBH1	GO:0006974	cellular response to DNA damage stimulus	9606
POLR2A	GO:0006974	cellular response to DNA damage stimulus	9606
PMS2P11	GO:0006974	cellular response to DNA damage stimulus	9606
RBL2	GO:0006974	cellular response to DNA damage stimulus	9606
DYRK1A	GO:0006974	cellular response to DNA damage stimulus	9606
CUL4B	GO:0006974	cellular response to DNA damage stimulus	9606
CUL4A	GO:0006974	cellular response to DNA damage stimulus	9606
SETD2	GO:0006974	cellular response to DNA damage stimulus	9606
CTC1	GO:0006974	cellular response to DNA damage stimulus	9606
METTL3	GO:0006974	cellular response to DNA damage stimulus	9606
STK33	GO:0006974	cellular response to DNA damage stimulus	9606
CDKN1B	GO:0006974	cellular response to DNA damage stimulus	9606
IKBKG	GO:0006974	cellular response to DNA damage stimulus	9606
MACROD2	GO:0006974	cellular response to DNA damage stimulus	9606
SYCP1	GO:0006974	cellular response to DNA damage stimulus	9606
PPP5C	GO:0006974	cellular response to DNA damage stimulus	9606
POLR2I	GO:0006974	cellular response to DNA damage stimulus	9606
KAT5	GO:0006974	cellular response to DNA damage stimulus	9606
IRF7	GO:0006974	cellular response to DNA damage stimulus	9606
GNL1	GO:0006974	cellular response to DNA damage stimulus	9606
STK11	GO:0006974	cellular response to DNA damage stimulus	9606
CTLA4	GO:0006974	cellular response to DNA damage stimulus	9606
COPS5	GO:0006974	cellular response to DNA damage stimulus	9606
UPF1	GO:0006974	cellular response to DNA damage stimulus	9606
MORC2	GO:0006974	cellular response to DNA damage stimulus	9606
MEIOC	GO:0006974	cellular response to DNA damage stimulus	9606
NDRG1	GO:0006974	cellular response to DNA damage stimulus	9606
GTF2H2	GO:0006974	cellular response to DNA damage stimulus	9606
SPATA18	GO:0006974	cellular response to DNA damage stimulus	9606
APLF	GO:0006974	cellular response to DNA damage stimulus	9606
TP53	GO:0006974	cellular response to DNA damage stimulus	9606
TOPBP1	GO:0006974	cellular response to DNA damage stimulus	9606
