pathway	entrezgene
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3977
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8809
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7292
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7293
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1524
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	414062
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	5159
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1896
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	9547
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3552
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	10913
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	11009
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1270
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1271
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	10673
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	56034
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7422
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7424
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7423
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	10803
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4804
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	116379
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	5154
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	94
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	5155
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	9560
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	93
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	5156
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	92
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	91
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	90
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2277
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	23495
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	64806
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	9966
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2056
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3581
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2919
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7124
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	643
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3442
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3441
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3440
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8771
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3439
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3579
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3577
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3578
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	56477
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3575
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3576
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3594
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3593
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3596
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3595
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3590
