SYMBOL	GO.TERM	entrezgene_id
CCND2	GO:0006915	894
CCR5	GO:0006915	1234
CCR7	GO:0006915	1236
CD14	GO:0006915	929
CD160	GO:0006915	11126
CD2	GO:0006915	914
CD24	GO:0006915	100133941
CD248	GO:0006915	57124
CD27	GO:0006915	939
CD274	GO:0006915	29126
CD28	GO:0006915	940
CD38	GO:0006915	952
CD3E	GO:0006915	916
CD3G	GO:0006915	917
CD40	GO:0006915	958
CD40LG	GO:0006915	959
CD44	GO:0006915	960
CD5	GO:0006915	921
CD5L	GO:0006915	922
CD70	GO:0006915	970
CD74	GO:0006915	972
CDC34	GO:0006915	997
CDC42	GO:0006915	998
CDC73	GO:0006915	79577
CDCA7	GO:0006915	83879
CDIP1	GO:0006915	29965
CDK1	GO:0006915	983
CDK11A	GO:0006915	728642
CDK11B	GO:0006915	984
CDK19	GO:0006915	23097
CDK4	GO:0006915	1019
CDK5	GO:0006915	1020
CDK5R1	GO:0006915	8851
CDK5RAP3	GO:0006915	80279
CDKN1A	GO:0006915	1026
CDKN1B	GO:0006915	1027
CDKN2A	GO:0006915	1029
CDKN2D	GO:0006915	1032
CEACAM5	GO:0006915	1048
CEACAM6	GO:0006915	4680
CEBPB	GO:0006915	1051
CECR2	GO:0006915	27443
CFDP1	GO:0006915	10428
CFL1	GO:0006915	1072
CFLAR	GO:0006915	8837
CGB3	GO:0006915	1082
CGB7	GO:0006915	94027
CHAC1	GO:0006915	79094
CHCHD10	GO:0006915	400916
CHD8	GO:0006915	57680
CHEK1	GO:0006915	1111
CHEK2	GO:0006915	11200
CHI3L1	GO:0006915	1116
CHIA	GO:0006915	27159
CHL1	GO:0006915	10752
CHM	GO:0006915	1121
CHMP3	GO:0006915	51652
CHST11	GO:0006915	50515
CIAPIN1	GO:0006915	57019
CIB1	GO:0006915	10519
CIDEA	GO:0006915	1149
CIDEB	GO:0006915	27141
CIDEC	GO:0006915	63924
CIT	GO:0006915	11113
CITED1	GO:0006915	4435
CITED2	GO:0006915	10370
CKAP2	GO:0006915	26586
CLC	GO:0006915	1178
CLCF1	GO:0006915	23529
CLDN7	GO:0006915	1366
CLEC5A	GO:0006915	23601
CLEC7A	GO:0006915	64581
CLIP3	GO:0006915	25999
CLN3	GO:0006915	1201
CLN8	GO:0006915	2055
CLPTM1L	GO:0006915	81037
CLU	GO:0006915	1191
CNR1	GO:0006915	1268
CNTF	GO:0006915	1270
CNTFR	GO:0006915	1271
COA8	GO:0006915	84334
COL18A1	GO:0006915	80781
COL2A1	GO:0006915	1280
COL4A3	GO:0006915	1285
