id	type
10971	Gene
7534	Gene
7704	Gene
51341	Gene
80149	Gene
84524	Gene
51530	Gene
84287	Gene
54469	Gene
7538	Gene
677	Gene
64393	Gene
10269	Gene
10771	Gene
7564	Gene
7755	Gene
10795	Gene
23567	Gene
25946	Gene
151126	Gene
147923	Gene
10224	Gene
90441	Gene
91603	Gene
8882	Gene
151112	Gene
4363	Gene
215	Gene
225	Gene
23	Gene
26090	Gene
59272	Gene
55331	Gene
2532	Gene
1238	Gene
730249	Gene
54	Gene
81792	Gene
107	Gene
113	Gene
114	Gene
30817	Gene
136	Gene
140	Gene
84632	Gene
177	Gene
185	Gene
191	Gene
197	Gene
80709	Gene
246	Gene
240	Gene
8639	Gene
325	Gene
335	Gene
336	Gene
347	Gene
23780	Gene
80833	Gene
55198	Gene
55870	Gene
445	Gene
8455	Gene
25825	Gene
8314	Gene
613	Gene
623	Gene
29760	Gene
23476	Gene
683	Gene
712	Gene
388581	Gene
114899	Gene
145741	Gene
388125	Gene
718	Gene
719	Gene
720	Gene
110384692	Gene
721	Gene
727	Gene
27202	Gene
90355	Gene
10203	Gene
814	Gene
6346	Gene
6356	Gene
6357	Gene
6358	Gene
6359	Gene
6360	Gene
6361	Gene
6362	Gene
6364	Gene
6367	Gene
6368	Gene
6369	Gene
6370	Gene
10344	Gene
6349	Gene
414062	Gene
6351	Gene
6354	Gene
6355	Gene
4856	Gene
1230	Gene
729230	Gene
1232	Gene
1233	Gene
1235	Gene
9034	Gene
9332	Gene
4064	Gene
4345	Gene
131450	Gene
344807	Gene
948	Gene
961	Gene
