source	target
KEGG PYRIMIDINE METABOLISM	56655
KEGG PYRIMIDINE METABOLISM	6240
KEGG PYRIMIDINE METABOLISM	6241
KEGG PYRIMIDINE METABOLISM	661
KEGG PYRIMIDINE METABOLISM	51251
KEGG PYRIMIDINE METABOLISM	1807
KEGG PYRIMIDINE METABOLISM	1806
KEGG PYRIMIDINE METABOLISM	1890
KEGG PYRIMIDINE METABOLISM	7372
KEGG PYRIMIDINE METABOLISM	7371
KEGG PYRIMIDINE METABOLISM	84265
KEGG PYRIMIDINE METABOLISM	7083
KEGG PYRIMIDINE METABOLISM	4907
KEGG PYRIMIDINE METABOLISM	7084
KEGG PYRIMIDINE METABOLISM	7378
KEGG PYRIMIDINE METABOLISM	955
KEGG PYRIMIDINE METABOLISM	957
KEGG PYRIMIDINE METABOLISM	956
KEGG PYRIMIDINE METABOLISM	953
KEGG PYRIMIDINE METABOLISM	93034
KEGG PYRIMIDINE METABOLISM	30833
KEGG PYRIMIDINE METABOLISM	29922
KEGG PYRIMIDINE METABOLISM	50808
KEGG PYRIMIDINE METABOLISM	30834
KEGG GLUTATHIONE METABOLISM	6723
KEGG GLUTATHIONE METABOLISM	2678
KEGG GLUTATHIONE METABOLISM	2950
KEGG GLUTATHIONE METABOLISM	2953
KEGG GLUTATHIONE METABOLISM	2952
KEGG GLUTATHIONE METABOLISM	2954
KEGG GLUTATHIONE METABOLISM	50484
KEGG GLUTATHIONE METABOLISM	6611
KEGG GLUTATHIONE METABOLISM	5226
KEGG GLUTATHIONE METABOLISM	9446
KEGG GLUTATHIONE METABOLISM	221357
KEGG GLUTATHIONE METABOLISM	4258
KEGG GLUTATHIONE METABOLISM	51056
KEGG GLUTATHIONE METABOLISM	4257
KEGG GLUTATHIONE METABOLISM	4259
KEGG GLUTATHIONE METABOLISM	2940
KEGG GLUTATHIONE METABOLISM	2944
KEGG GLUTATHIONE METABOLISM	2882
KEGG GLUTATHIONE METABOLISM	2941
KEGG GLUTATHIONE METABOLISM	257202
KEGG GLUTATHIONE METABOLISM	2948
KEGG GLUTATHIONE METABOLISM	79017
KEGG GLUTATHIONE METABOLISM	2947
KEGG GLUTATHIONE METABOLISM	2946
KEGG GLUTATHIONE METABOLISM	2949
KEGG GLUTATHIONE METABOLISM	2938
KEGG GLUTATHIONE METABOLISM	2939
KEGG GLUTATHIONE METABOLISM	2936
KEGG GLUTATHIONE METABOLISM	2937
KEGG GLUTATHIONE METABOLISM	6240
KEGG GLUTATHIONE METABOLISM	6241
KEGG GLUTATHIONE METABOLISM	2729
KEGG GLUTATHIONE METABOLISM	373156
KEGG GLUTATHIONE METABOLISM	2880
KEGG GLUTATHIONE METABOLISM	51060
KEGG GLUTATHIONE METABOLISM	2876
KEGG GLUTATHIONE METABOLISM	2877
KEGG GLUTATHIONE METABOLISM	2878
KEGG GLUTATHIONE METABOLISM	3418
KEGG GLUTATHIONE METABOLISM	2879
KEGG GLUTATHIONE METABOLISM	3417
KEGG GLUTATHIONE METABOLISM	26873
KEGG GLUTATHIONE METABOLISM	2730
KEGG GLUTATHIONE METABOLISM	124975
KEGG GLUTATHIONE METABOLISM	290
KEGG GLUTATHIONE METABOLISM	2686
KEGG GLUTATHIONE METABOLISM	119391
KEGG GLUTATHIONE METABOLISM	2687
KEGG GLUTATHIONE METABOLISM	2539
KEGG GLUTATHIONE METABOLISM	4953
KEGG ARACHIDONIC ACID METABOLISM	2053
KEGG ARACHIDONIC ACID METABOLISM	1571
KEGG ARACHIDONIC ACID METABOLISM	240
KEGG ARACHIDONIC ACID METABOLISM	1579
KEGG ARACHIDONIC ACID METABOLISM	1573
KEGG ARACHIDONIC ACID METABOLISM	2678
KEGG ARACHIDONIC ACID METABOLISM	50487
KEGG ARACHIDONIC ACID METABOLISM	8644
KEGG ARACHIDONIC ACID METABOLISM	5740
KEGG ARACHIDONIC ACID METABOLISM	242
KEGG ARACHIDONIC ACID METABOLISM	8529
KEGG ARACHIDONIC ACID METABOLISM	1562
KEGG ARACHIDONIC ACID METABOLISM	80142
KEGG ARACHIDONIC ACID METABOLISM	247
KEGG ARACHIDONIC ACID METABOLISM	246
KEGG ARACHIDONIC ACID METABOLISM	8681
KEGG ARACHIDONIC ACID METABOLISM	8398
KEGG ARACHIDONIC ACID METABOLISM	30814
KEGG ARACHIDONIC ACID METABOLISM	8399
KEGG ARACHIDONIC ACID METABOLISM	5320
KEGG ARACHIDONIC ACID METABOLISM	5321
KEGG ARACHIDONIC ACID METABOLISM	5322
KEGG ARACHIDONIC ACID METABOLISM	5743
KEGG ARACHIDONIC ACID METABOLISM	84647
KEGG ARACHIDONIC ACID METABOLISM	5742
KEGG ARACHIDONIC ACID METABOLISM	100137049
KEGG ARACHIDONIC ACID METABOLISM	64600
KEGG ARACHIDONIC ACID METABOLISM	239
KEGG ARACHIDONIC ACID METABOLISM	1559
KEGG ARACHIDONIC ACID METABOLISM	2882
KEGG ARACHIDONIC ACID METABOLISM	257202
KEGG ARACHIDONIC ACID METABOLISM	1557
KEGG ARACHIDONIC ACID METABOLISM	1558
KEGG ARACHIDONIC ACID METABOLISM	873
KEGG ARACHIDONIC ACID METABOLISM	1555
KEGG ARACHIDONIC ACID METABOLISM	874
KEGG ARACHIDONIC ACID METABOLISM	113612
KEGG ARACHIDONIC ACID METABOLISM	5319
KEGG ARACHIDONIC ACID METABOLISM	4048
KEGG ARACHIDONIC ACID METABOLISM	9536
KEGG ARACHIDONIC ACID METABOLISM	2880
KEGG ARACHIDONIC ACID METABOLISM	2876
KEGG ARACHIDONIC ACID METABOLISM	284541
KEGG ARACHIDONIC ACID METABOLISM	2877
KEGG ARACHIDONIC ACID METABOLISM	2878
KEGG ARACHIDONIC ACID METABOLISM	2879
KEGG ARACHIDONIC ACID METABOLISM	4051
KEGG ARACHIDONIC ACID METABOLISM	123745
KEGG ARACHIDONIC ACID METABOLISM	4056
KEGG ARACHIDONIC ACID METABOLISM	124975
KEGG ARACHIDONIC ACID METABOLISM	2686
KEGG ARACHIDONIC ACID METABOLISM	2687
KEGG ARACHIDONIC ACID METABOLISM	27306
KEGG ARACHIDONIC ACID METABOLISM	391013
KEGG ARACHIDONIC ACID METABOLISM	5730
KEGG ARACHIDONIC ACID METABOLISM	26279
KEGG ARACHIDONIC ACID METABOLISM	81579
KEGG ARACHIDONIC ACID METABOLISM	6916
KEGG RNA DEGRADATION	23658
KEGG RNA DEGRADATION	10200
KEGG RNA DEGRADATION	23517
KEGG RNA DEGRADATION	219988
KEGG RNA DEGRADATION	54512
KEGG RNA DEGRADATION	87178
KEGG RNA DEGRADATION	23404
KEGG RNA DEGRADATION	6499
