SYMBOL	GO.TERM	entrezgene_id
PIAS4	GO:0006974	51588
PIDD1	GO:0006974	55367
PIF1	GO:0006974	80119
PIK3R1	GO:0006974	5295
PLA2R1	GO:0006974	22925
PLAGL1	GO:0006974	5325
PLK1	GO:0006974	5347
PLK2	GO:0006974	10769
PLK3	GO:0006974	1263
PMAIP1	GO:0006974	5366
PML	GO:0006974	5371
PMS1	GO:0006974	5378
PMS2	GO:0006974	5395
PMS2P1	GO:0006974	NA
PMS2P11	GO:0006974	NA
PMS2P2	GO:0006974	NA
PMS2P3	GO:0006974	NA
PMS2P5	GO:0006974	NA
PNKP	GO:0006974	11284
POLA1	GO:0006974	5422
POLB	GO:0006974	5423
POLD1	GO:0006974	5424
POLD2	GO:0006974	5425
POLD3	GO:0006974	10714
POLD4	GO:0006974	57804
POLE	GO:0006974	5426
POLE2	GO:0006974	5427
POLE3	GO:0006974	54107
POLG	GO:0006974	5428
POLG2	GO:0006974	11232
POLH	GO:0006974	5429
POLI	GO:0006974	11201
POLK	GO:0006974	51426
POLL	GO:0006974	27343
POLM	GO:0006974	27434
POLN	GO:0006974	353497
POLQ	GO:0006974	10721
POLR2A	GO:0006974	5430
POLR2B	GO:0006974	5431
POLR2C	GO:0006974	5432
POLR2D	GO:0006974	5433
POLR2E	GO:0006974	5434
POLR2F	GO:0006974	5435
POLR2G	GO:0006974	5436
POLR2H	GO:0006974	5437
POLR2I	GO:0006974	5438
POLR2J	GO:0006974	5439
POLR2K	GO:0006974	5440
POLR2L	GO:0006974	5441
PPIE	GO:0006974	10450
PPM1D	GO:0006974	8493
PPP1R10	GO:0006974	5514
PPP1R15A	GO:0006974	23645
PPP4C	GO:0006974	5531
PPP4R2	GO:0006974	151987
PPP5C	GO:0006974	5536
PRDM9	GO:0006974	56979
PRIMPOL	GO:0006974	201973
PRKCD	GO:0006974	5580
PRKCG	GO:0006974	5582
PRKDC	GO:0006974	5591
PRMT1	GO:0006974	3276
PRMT6	GO:0006974	55170
PRPF19	GO:0006974	27339
PSEN1	GO:0006974	5663
PSMD10	GO:0006974	5716
PSMD14	GO:0006974	10213
PSME4	GO:0006974	23198
PTPN11	GO:0006974	5781
PTTG1	GO:0006974	9232
PTTG1IP	GO:0006974	754
PWWP3A	GO:0006974	84939
PYCARD	GO:0006974	29108
PYHIN1	GO:0006974	149628
RAD1	GO:0006974	5810
RAD17	GO:0006974	5884
RAD18	GO:0006974	56852
RAD21	GO:0006974	5885
RAD21L1	GO:0006974	642636
RAD23A	GO:0006974	5886
RAD23B	GO:0006974	5887
RAD50	GO:0006974	10111
